Occupation,ACEScore,Kmax,ThinkingCreatively
Flight Attendants,0,87,23
Floor Layers Except Carpet Wood and Hard Tiles,0,50,36
Floor Sanders and Finishers,0,45,28
Floral Designers,81.3,52,50
Food and Tobacco Roasting Baking and Drying Machine Operators and Tenders,0,32,13
Food Batchmakers,0,40,23
Food Cooking Machine Operators and Tenders,0,47,17
Food Preparation Workers,0,28,11
Food Science Technicians,0,51,33
Food Scientists and Technologists,12.5,0,0
Food Servers Nonrestaurant,0,29,18
Food Service Managers,0,53,33
Foreign Language and Literature Teachers Postsecondary,18.8,83,74
Forensic Science Technicians,0,59,26
Forest and Conservation Technicians,0,0,0
Forest and Conservation Workers,0,58,51
Forest Fire Fighting and Prevention Supervisors,0,65,42
Forest Fire Inspectors and Prevention Specialists,0,68,51
Forest Firefighters,0,58,46
Foresters,0,43,45
Forestry and Conservation Science Teachers Postsecondary,0,83,73
Forging Machine Setters Operators and Tenders Metal and Plastic,0,42,24
Foundry Mold and Coremakers,0,39,13
Fraud Examiners Investigators and Analysts,0,0,0
Freight and Cargo Inspectors,0,47,28
Freight Forwarders,0,67,24
Fuel Cell Engineers,0,0,0
Fundraisers,0,0,0
Funeral Attendants,0,58,36
Funeral Service Managers,0,77,23
Furnace Kiln Oven Drier and Kettle Operators and Tenders,0,56,10
Furniture Finishers,18.8,10,0
Gaming and Sports Book Writers and Runners,0,42,15
Gaming Cage Workers,0,62,9
Gaming Change Persons and Booth Cashiers,0,42,12
Gaming Dealers,0,53,21
Gaming Managers,0,72,34
Gaming Supervisors,0,66,12
Gaming Surveillance Officers and Gaming Investigators,0,53,40
Gas Compressor and Gas Pumping Station Operators,0,61,30
Gas Plant Operators,0,62,27
Gem and Diamond Workers,0,34,41
General and Operations Managers,0,62,48
Genetic Counselors,0,0,0
Geneticists,0,0,0
Geodetic Surveyors,0,0,0
Geographers,18.8,0,0
Geographic Information Systems Technicians,0,82,59
Geography Teachers Postsecondary,0,95,74
Geological Sample Test Technicians,0,55,50
Geophysical Data Technicians,0,58,28
Geoscientists Except Hydrologists and Geographers,18.8,0,0
Geospatial Information Scientists and Technologists,0,0,0
Geothermal Production Managers,0,74,48
Geothermal Technicians,0,63,41
Glass Blowers Molders Benders and Finishers,0,55,38
Glaziers,12.5,62,27
Government Property Inspectors and Investigators,0,50,51
Graders and Sorters Agricultural Products,0,18,9
Graduate Teaching Assistants,0,64,48
Graphic Designers,100,0,0
Grinding and Polishing Workers Hand,0,23,44
Grinding Lapping Polishing and Buffing Machine Tool Setters Operators and Tenders Metal and Plastic,0,42,37
Hairdressers Hairstylists and Cosmetologists,18.8,39,68
Hazardous Materials Removal Workers,0,50,54
Health Educators,12.5,71,58
Health Specialties Teachers Postsecondary,0,83,49
Healthcare Social Workers,0,0,0
Hearing Aid Specialists,0,77,49
Heat Treating Equipment Setters Operators and Tenders Metal and Plastic,0,27,10
Heating and Air Conditioning Mechanics and Installers,0,69,44
Heavy and Tractor-Trailer Truck Drivers,0,47,29
Helpers--Brickmasons Blockmasons Stonemasons and Tile and Marble Setters,0,56,35
Helpers--Carpenters,0,71,32
Helpers--Electricians,0,50,17
Helpers--Extraction Workers,0,33,42
Helpers--Installation Maintenance and Repair Workers,0,38,20
