Occupation,ACEScore,Kmax,ThinkingCreatively
Police Detectives,0,74,50
Police Identification and Records Officers,0,52,29
Police Patrol Officers,0,66,36
Police Fire and Ambulance Dispatchers,0,84,20
Political Science Teachers Postsecondary,0,84,65
Political Scientists,12.5,0,0
Postal Service Clerks,0,40,14
Postal Service Mail Carriers,0,38,13
Postal Service Mail Sorters Processors and Processing Machine Operators,0,20,11
Postmasters and Mail Superintendents,0,57,33
Potters Manufacturing,0,53,76
Pourers and Casters Metal,0,21,14
Power Distributors and Dispatchers,0,48,36
Power Plant Operators,0,31,29
Precious Metal Workers,0,40,52
Precision Agriculture Technicians,0,0,0
Prepress Technicians and Workers,12.5,58,33
Preschool Teachers Except Special Education,12.5,54,54
Pressers Textile Garment and Related Materials,0,26,11
Preventive Medicine Physicians,0,0,0
Print Binding and Finishing Workers,12.5,36,19
Printing Press Operators,12.5,31,30
Private Detectives and Investigators,0,69,33
Probation Officers and Correctional Treatment Specialists,0,61,37
Procurement Clerks,0,58,25
Producers,100,76,73
Product Safety Engineers,0,0,0
Production Planning and Expediting Clerks,0,55,38
Program Directors,100,64,76
Proofreaders and Copy Markers,25,67,59
Property Real Estate and Community Association Managers,0,0,0
Prosthodontists,0,91,45
Psychiatric Aides,0,50,32
Psychiatric Technicians,0,66,39
Psychiatrists,0,95,48
Psychology Teachers Postsecondary,0,87,51
Public Address System and Other Announcers,18.8,56,54
Public Relations and Fundraising Managers,68.8,76,68
Public Relations Specialists,68.8,0,0
Pump Operators Except Wellhead Pumpers,0,54,26
Purchasing Agents Except Wholesale Retail and Farm Products,0,0,0
Purchasing Managers,0,0,0
Quality Control Analysts,0,51,21
Quality Control Systems Managers,0,52,46
Radiation Therapists,0,69,32
Radio and Television Announcers,93.8,63,66
Radio Mechanics,0,60,50
Radio Operators,62.5,64,20
Radio Cellular and Tower Equipment Installers and Repairers,0,73,35
Radiologic Technicians,0,57,46
Radiologic Technologists,0,77,45
Radiologists,0,86,35
Rail Car Repairers,0,50,31
Rail Yard Engineers Dinkey Operators and Hostlers,0,58,28
Railroad Brake Signal and Switch Operators,0,49,22
Railroad Conductors and Yardmasters,0,47,12
Rail-Track Laying and Maintenance Equipment Operators,0,41,27
Range Managers,0,53,50
Real Estate Brokers,0,65,41
Real Estate Sales Agents,0,0,0
Receptionists and Information Clerks,0,56,21
Recreation and Fitness Studies Teachers Postsecondary,0,83,58
Recreation Workers,39.02,60,45
Recreational Therapists,25,0,0
Recreational Vehicle Service Technicians,0,0,0
Recycling and Reclamation Workers,0,53,18
Recycling Coordinators,0,62,41
Refractory Materials Repairers Except Brickmasons,0,43,21
Refrigeration Mechanics and Installers,0,76,36
Refuse and Recyclable Material Collectors,0,63,24
Registered Nurses,0,71,34
Regulatory Affairs Managers,0,0,0
Regulatory Affairs Specialists,0,0,0
Rehabilitation Counselors,0,73,26
Reinforcing Iron and Rebar Workers,0,61,20
Remote Sensing Scientists and Technologists,0,0,0
Remote Sensing Technicians,0,75,48
Reporters and Correspondents,87.5,0,0
Reservation and Transportation Ticket Agents and Travel Clerks,0,74,18
Residential Advisors,0,68,55
Respiratory Therapists,0,70,27
Respiratory Therapy Technicians,0,69,40
Retail Loss Prevention Specialists,0,60,34
Retail Salespersons,0,59,38
Riggers,0,54,16
Risk Management Specialists,0,0,0
Robotics Engineers,0,0,0
Robotics Technicians,0,0,0
Rock Splitters Quarry,0,29,19
Rolling Machine Setters Operators and Tenders Metal and Plastic,0,37,25
Roof Bolters Mining,0,41,18
Roofers,0,37,36
Rotary Drill Operators Oil and Gas,0,55,40
Rough Carpenters,0,62,31
Roustabouts Oil and Gas,0,33,22
Sailors and Marine Oilers,0,52,36
Sales Agents Financial Services,0,63,38
Sales Agents Securities and Commodities,0,87,43
Sales Engineers,18.8,62,53
Sales Managers,0,0,0
Sales Representatives Wholesale and Manufacturing Except Technical and Scientific Products,0,69,47
Sales Representatives Wholesale and Manufacturing Technical and Scientific Products,0,59,21
Sawing Machine Setters Operators and Tenders Wood,0,31,16
School Psychologists,0,88,47
Search Marketing Strategists,0,0,0
Secondary School Teachers Except Special and Career/Technical Education,0,68,49
Secretaries and Administrative Assistants Except Legal Medical and Executive,0,79,22
Security and Fire Alarm Systems Installers,0,45,33
Security Guards,0,26,7
Security Management Specialists,0,0,0
Security Managers,0,0,0
Segmental Pavers,0,42,32
Self-Enrichment Education Teachers,0,65,36
Semiconductor Processors,0,42,26
Separating Filtering Clarifying Precipitating and Still Machine Setters Operators and Tenders,0,43,25
Septic Tank Servicers and Sewer Pipe Cleaners,0,50,33
Service Unit Operators Oil Gas and Mining,0,60,40
Set and Exhibit Designers,100,0,0
Sewers Hand,25,0,0
Sewing Machine Operators,0,17,13
Shampooers,0,52,23
Sheet Metal Workers,0,48,32
Sheriffs and Deputy Sheriffs,0,69,41
Ship and Boat Captains,0,59,44
Ship Engineers,0,79,41
Shipping Receiving and Traffic Clerks,0,31,21
Shoe and Leather Workers and Repairers,0,24,13
Shoe Machine Operators and Tenders,0,39,25
Signal and Track Switch Repairers,0,52,22
Singers,93.8,50,42
Skincare Specialists,0,63,42
Slaughterers and Meat Packers,0,26,16
Slot Supervisors,0,69,30
Social and Community Service Managers,18.8,76,64
Social and Human Service Assistants,0,66,38
Social Science Research Assistants,0,56,44
Social Work Teachers Postsecondary,0,91,69
Sociologists,18.8,0,0
Sociology Teachers Postsecondary,0,92,71
Software Developers Applications,25,91,75
Software Developers Systems Software,25,91,69
Software Quality Assurance Engineers and Testers,0,0,0
Soil and Plant Scientists,18.8,0,0
Soil and Water Conservationists,0,0,0
Solar Energy Installation Managers,0,63,51
Solar Photovoltaic Installers,0,53,37
Solar Sales Representatives and Assessors,0,73,41
Solderers and Brazers,0,25,25
Sound Engineering Technicians,81.3,0,0
Spa Managers,0,64,45
Special Education Teachers Middle School,12.5,76,54
Special Education Teachers Secondary School,12.5,63,50
Speech-Language Pathologists,18.8,77,47
Speech-Language Pathology Assistants,0,60,36
Sports Medicine Physicians,0,95,50
Statement Clerks,0,56,23
Stationary Engineers and Boiler Operators,0,55,47
Statistical Assistants,0,63,43
Statisticians,12.5,0,0
Stock Clerks- Stockroom Warehouse or Storage Yard,0,17,11
Stock Clerks Sales Floor,0,32,18
Stone Cutters and Carvers Manufacturing,0,0,0
Stonemasons,12.5,63,33
Storage and Distribution Managers,0,0,0
Structural Iron and Steel Workers,0,66,40
Structural Metal Fabricators and Fitters,0,50,29
Substance Abuse and Behavioral Disorder Counselors,0,91,43
Subway and Streetcar Operators,0,56,11
Supply Chain Managers,0,0,0
Surgeons,0,93,48
Surgical Technologists,0,52,30
Survey Researchers,12.5,0,0
Surveying Technicians,0,0,0
Surveyors,0,0,0
Sustainability Specialists,0,0,0
Switchboard Operators Including Answering Service,0,53,17
Tailors Dressmakers and Custom Sewers,18.8,49,36
Talent Directors,100,52,62
Tank Car Truck and Ship Loaders,0,61,37
Tapers,0,61,0
Tax Examiners and Collectors and Revenue Agents,0,74,28
Tax Preparers,0,0,0
Taxi Drivers and Chauffeurs,0,39,24
Teacher Assistants,0,35,38
Team Assemblers,0,42,14
Technical Directors/Managers,100,75,56
Technical Writers,75,74,40
Telecommunications Engineering Specialists,0,0,0
Telecommunications Equipment Installers and Repairers Except Line Installers,0,70,38
Telecommunications Line Installers and Repairers,0,49,34
Telemarketers,0,52,14
Telephone Operators,0,73,19
Tellers,0,68,14
Terrazzo Workers and Finishers,0,43,16
Textile Bleaching and Dyeing Machine Operators and Tenders,0,31,31
Textile Cutting Machine Setters Operators and Tenders,0,28,30
Textile Knitting and Weaving Machine Setters Operators and Tenders,0,22,10
Textile Winding Twisting and Drawing Out Machine Setters Operators and Tenders,0,14,24
Tile and Marble Setters,0,33,44
Timing Device Assemblers and Adjusters,0,48,31
Tire Builders,0,50,15
Tire Repairers and Changers,0,49,24
Title Examiners Abstractors and Searchers,0,62,6
Tool and Die Makers,0,68,55
Tool Grinders Filers and Sharpeners,0,43,42
Tour Guides and Escorts,18.8,57,34
Traffic Technicians,0,74,42
Training and Development Managers,12.5,0,0
Training and Development Specialists,12.5,0,0
Transit and Railroad Police,0,70,37
Transportation Attendants Except Flight Attendants,0,41,22
Transportation Engineers,0,0,0
Transportation Managers,0,64,50
Transportation Planners,0,0,0
Transportation Security Screeners,0,0,0
Transportation Vehicle Equipment and Systems Inspectors Except Aviation,0,61,21
Travel Agents,0,53,36
Travel Guides,12.5,66,35
Treasurers and Controllers,0,0,0
Tree Trimmers and Pruners,0,41,41
Tutors,0,0,0
Umpires Referees and Other Sports Officials,0,0,0
Upholsterers,0,23,39
Urban and Regional Planners,12.5,0,0
Urologists,0,94,41
Ushers Lobby Attendants and Ticket Takers,12.5,25,10
Validation Engineers,0,0,0
Veterinarians,0,78,32
Veterinary Assistants and Laboratory Animal Caretakers,0,49,20
Veterinary Technologists and Technicians,0,61,19
Video Game Designers,0,0,0
Vocational Education Teachers Postsecondary,12.5,74,49
Waiters and Waitresses,0,48,11
Watch Repairers,12.5,66,47
Water and Wastewater Treatment Plant and System Operators,0,52,29
Water Resource Specialists,0,0,0
Water/Wastewater Engineers,0,0,0
Weatherization Installers and Technicians,0,0,0
Web Administrators,0,0,0
Web Developers,0,0,0
Weighers Measurers Checkers and Samplers Recordkeeping,0,32,10
Welders Cutters and Welder Fitters,0,40,40
Welding Soldering and Brazing Machine Setters Operators and Tenders,0,41,16
Wellhead Pumpers,0,53,23
Wholesale and Retail Buyers Except Farm Products,0,58,24
Wind Energy Engineers,0,87,41
Wind Turbine Service Technicians,0,71,35
Woodworking Machine Setters Operators and Tenders Except Sawing,0,44,21
Word Processors and Typists,0,84,39
Zoologists and Wildlife Biologists,0,80,44
